"Part";"Value";"Device";"Package";"Description";"";
"C1";"10nf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C2";"10nf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C3";"10uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"47nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C5";"10nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C6";"10nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"47nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C8";"10nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C9";"47pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C10";"10nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C11";"47pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C16";"82pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C17";"82pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CI11";"10uf (1210)";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";
"CI12";"10uf (1210)";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";
"CI21";"10uf (1210)";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";
"CI22";"10uf (1210)";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";
"CIN";"470uf";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"CO11";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO12";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO13";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO14";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO15";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO16";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO17";"470uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"CO21";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO22";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO23";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO24";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO25";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO26";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CO27";"470uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"EN1PIN";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"EN2PIN";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"GND";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"L1";"10uH";"MSS1048";"MSS1048";"SMT Power Inductor";"";
"L2";"10uF";"MSS1048";"MSS1048";"SMT Power Inductor";"";
"R1";"80.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"2.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"2.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"40.2k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"48.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"40.2k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"48.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"SCL";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"SDA";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"U$1";"";"TPS65273V";"HTSSOP32DAP";"";"";
"VCC";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"VO1";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"VO2";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
